method,patient_idx,success,latency_sec,real_cvr,kde,effort,dataset,seed
growing_spheres_legacy,32,True,0.0010540485382080078,True,-9.024852157011276,10.70683188829822,uci,4
dice_legacy,32,True,0.002939939498901367,True,-7.7299553150647204,8.326342582702637,uci,4
growing_spheres_legacy,33,True,0.0008611679077148438,True,-9.304745795998027,6.0075636797878325,uci,4
dice_legacy,33,True,0.002585172653198242,True,-8.942732987828942,7.278564929962158,uci,4
growing_spheres_legacy,34,False,0.0012888908386230469,,,,uci,4
dice_legacy,34,True,0.004778861999511719,True,-9.557130742695119,10.734869003295898,uci,4
growing_spheres_legacy,36,True,0.0010478496551513672,True,-9.827472210484215,7.44562582040797,uci,4
dice_legacy,36,True,0.0025191307067871094,True,-8.92457947138137,6.236362457275391,uci,4
growing_spheres_legacy,37,True,0.0008349418640136719,True,-16.416679160604232,6.869086627212739,uci,4
dice_legacy,37,True,0.001851797103881836,True,-14.774329333105584,4.845627784729004,uci,4
growing_spheres_legacy,1,True,0.0009338855743408203,True,-8.456237333382509,4.093910183180467,nhanes_real,0
dice_legacy,1,False,0.014431238174438477,,,,nhanes_real,0
growing_spheres_legacy,2,True,0.0006053447723388672,True,-7.150907856860823,2.1798177269693806,nhanes_real,0
dice_legacy,2,False,0.014681816101074219,,,,nhanes_real,0
growing_spheres_legacy,5,True,0.0004730224609375,True,-9.012353223789447,2.435131121013976,nhanes_real,0
dice_legacy,5,True,0.0017511844635009766,True,-9.258845002171999,2.562870979309082,nhanes_real,0
growing_spheres_legacy,6,True,0.00028896331787109375,True,-6.672806808466559,1.0167462187022702,nhanes_real,0
dice_legacy,6,True,0.0008749961853027344,True,-6.729880066884816,2.3061323165893555,nhanes_real,0
growing_spheres_legacy,7,True,0.0009019374847412109,True,-7.273684821339323,2.7249205465163993,nhanes_real,0
dice_legacy,7,False,0.014414072036743164,,,,nhanes_real,0
growing_spheres_legacy,8,True,0.0006401538848876953,True,-6.932494643755085,3.8266754825702263,nhanes_real,0
dice_legacy,8,False,0.014126062393188477,,,,nhanes_real,0
growing_spheres_legacy,9,True,0.0003859996795654297,True,-9.24776146532908,2.574285068363549,nhanes_real,0
dice_legacy,9,True,0.0011668205261230469,True,-9.361149861448808,2.1817426681518555,nhanes_real,0
growing_spheres_legacy,11,True,0.0009930133819580078,True,-9.252426694032513,6.106751976337052,nhanes_real,0
dice_legacy,11,False,0.014528036117553711,,,,nhanes_real,0
growing_spheres_legacy,12,True,0.0006070137023925781,True,-8.218990957634752,3.4858240223233468,nhanes_real,0
dice_legacy,12,True,0.0018088817596435547,True,-8.000314239583407,1.7456605434417725,nhanes_real,0
growing_spheres_legacy,13,True,0.0007808208465576172,True,-10.243435955805676,3.8894780305383745,nhanes_real,0
dice_legacy,13,False,0.014584064483642578,,,,nhanes_real,0
growing_spheres_legacy,14,True,0.0006861686706542969,True,-9.276548370672067,2.539046282998857,nhanes_real,0
dice_legacy,14,False,0.014414072036743164,,,,nhanes_real,0
growing_spheres_legacy,17,True,0.0004620552062988281,True,-7.4770950783012236,3.3775956974857086,nhanes_real,0
dice_legacy,17,True,0.0014300346374511719,True,-7.377720916635502,1.837920069694519,nhanes_real,0
growing_spheres_legacy,21,True,0.001055002212524414,True,-10.960202364573718,5.531146301119026,nhanes_real,0
dice_legacy,21,False,0.014371156692504883,,,,nhanes_real,0
growing_spheres_legacy,22,True,0.000415802001953125,True,-7.0606898288804345,2.0449788040869206,nhanes_real,0
dice_legacy,22,True,0.0010569095611572266,True,-7.189810838865634,2.1823534965515137,nhanes_real,0
growing_spheres_legacy,23,True,0.0003337860107421875,True,-8.306170231193935,1.3062006202511833,nhanes_real,0
dice_legacy,23,True,0.0008749961853027344,True,-8.085644052727208,1.7745180130004883,nhanes_real,0
growing_spheres_legacy,0,True,0.0007760524749755859,True,-8.007217407632607,2.6211930449913594,nhanes_real,1
dice_legacy,0,True,0.0031807422637939453,True,-7.97693346276901,2.554348945617676,nhanes_real,1
growing_spheres_legacy,4,True,0.0008442401885986328,True,-8.056889447757705,4.277532170861897,nhanes_real,1
dice_legacy,4,False,0.014283895492553711,,,,nhanes_real,1
growing_spheres_legacy,7,True,0.0006778240203857422,True,-11.795670673768441,3.7881326071672126,nhanes_real,1
dice_legacy,7,False,0.014799118041992188,,,,nhanes_real,1
growing_spheres_legacy,8,True,0.0006520748138427734,True,-7.261699406253806,2.2211933012874603,nhanes_real,1
dice_legacy,8,False,0.016204833984375,,,,nhanes_real,1
growing_spheres_legacy,9,True,0.0011677742004394531,True,-7.860153394182755,9.189301016351223,nhanes_real,1
dice_legacy,9,False,0.014585018157958984,,,,nhanes_real,1
growing_spheres_legacy,11,True,0.0004291534423828125,True,-6.79198762111752,2.4960120719044596,nhanes_real,1
