patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
695,True,1.0,"[3631, 655]",0.4663693428039551,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-6.30653141829972,1.0668694972991943,0.013122292002663016,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
696,True,1.0,"[3631, 714]",0.6852605760097503,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.403847978592008,1.7723274230957031,0.012260042014531791,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
699,True,1.0,"[3631, 3122]",1.0978059887886047,1.0,True,True,"{""immutable"": true, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.0087485444033035,1.9911928176879883,0.01256474998081103,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
701,True,1.0,"[3631, 3219]",0.5534775733947754,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.498003250795085,0.8459917306900024,0.012899791006930172,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
702,True,1.0,"[3631, 2792]",1.4597143530845642,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-9.9593064104808,2.7607169151306152,0.01274683402152732,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
712,True,1.0,"[3631, 505]",0.8329489707946778,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-9.131109653409535,1.6497615575790405,0.012445292028132826,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
713,True,1.0,"[3631, 315]",1.0803958654403687,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.739272019593188,1.742702603340149,0.012629957986064255,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
714,True,1.0,"[3631, 63]",0.9941197156906127,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-8.856599340031135,2.8154540061950684,0.013167832978069782,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
716,True,1.0,"[3631, 3356]",0.7312172234058381,1.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.204342100151861,1.429008960723877,0.012998958001844585,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
719,True,1.0,"[3631, 1545]",0.6613219201564788,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.351768202251486,1.2079353332519531,0.0124417920014821,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
