success,budget,n_features_changed,latency_sec,effort,admissible,dataset,seed,patient_idx
False,,,0.01357750000897795,,,nhanes_real,0,74
False,,,0.013641417026519775,,,nhanes_real,0,76
True,2.0,2.0,0.0012160000624135137,3.75,True,nhanes_real,0,78
True,1.0,1.0,0.0008094169897958636,2.25,True,nhanes_real,0,79
False,,,0.013559333980083466,,,nhanes_real,0,80
False,,,0.01363416702952236,,,nhanes_real,0,83
True,1.0,1.0,0.0008251250255852938,2.249999761581421,True,nhanes_real,0,85
False,,,0.013625791994854808,,,nhanes_real,0,87
True,1.0,1.0,0.0008080410771071911,0.75,True,nhanes_real,0,88
True,3.0,3.0,0.0030143329640850425,8.625,True,nhanes_real,0,90
True,2.0,2.0,0.0011027499567717314,6.75,True,nhanes_real,0,97
True,2.0,2.0,0.001072417013347149,5.25,True,nhanes_real,0,99
False,,,0.013562415959313512,,,nhanes_real,0,100
False,,,0.014552457956597209,,,nhanes_real,0,105
False,,,0.014227709034457803,,,nhanes_real,0,107
False,,,0.013893458060920238,,,nhanes_real,0,109
False,,,0.013712166924960911,,,nhanes_real,0,113
False,,,0.013654749956913292,,,nhanes_real,0,115
True,2.0,2.0,0.0013879579491913319,5.625,True,nhanes_real,0,118
False,,,0.013770167017355561,,,nhanes_real,0,120
False,,,0.013633874943479896,,,nhanes_real,0,122
False,,,0.013766499934718013,,,nhanes_real,0,123
True,1.0,1.0,0.0009347921004518867,4.5,True,nhanes_real,0,124
False,,,0.0136356670409441,,,nhanes_real,0,126
True,1.0,1.0,0.0008446250576525927,2.25,True,nhanes_real,0,127
True,1.0,1.0,0.0008239580783993006,0.75,True,nhanes_real,0,129
True,1.0,1.0,0.0008212500251829624,0.75,True,nhanes_real,0,132
True,1.0,1.0,0.0008037920342758298,1.125,True,nhanes_real,0,133
True,2.0,2.0,0.0011852500028908253,6.75,True,nhanes_real,0,134
False,,,0.013689707964658737,,,nhanes_real,0,139
False,,,0.01363108295481652,,,nhanes_real,0,140
False,,,0.013703916105441749,,,nhanes_real,0,143
True,2.0,2.0,0.001199499936774373,6.0,True,nhanes_real,0,144
False,,,0.013626208994537592,,,nhanes_real,0,145
True,2.0,2.0,0.001188665977679193,6.75,True,nhanes_real,0,147
False,,,0.013789042015559971,,,nhanes_real,0,149
True,2.0,2.0,0.0012229159474372864,6.0,True,nhanes_real,0,150
True,3.0,3.0,0.0030315000331029296,8.625,True,nhanes_real,0,155
True,1.0,1.0,0.0007818749872967601,1.125,True,nhanes_real,0,156
True,1.0,1.0,0.0007953339954838157,0.75,True,nhanes_real,0,158
True,2.0,2.0,0.0011296659940853715,4.75,True,nhanes_real,0,160
False,,,0.013730083941482008,,,nhanes_real,0,162
True,2.0,2.0,0.0012251660227775574,3.25,True,nhanes_real,0,163
True,4.0,4.0,0.008318166015669703,9.25,True,nhanes_real,0,164
False,,,0.013590416987426579,,,nhanes_real,0,166
False,,,0.01377137505915016,,,nhanes_real,0,167
False,,,0.013633333961479366,,,nhanes_real,0,168
True,2.0,2.0,0.0011937080416828394,5.25,True,nhanes_real,0,171
True,1.0,1.0,0.0007650830084457994,1.125,True,nhanes_real,0,173
True,1.0,1.0,0.0007487079128623009,0.7499998211860657,True,nhanes_real,0,174
False,,,0.01364704198203981,,,nhanes_real,0,179
False,,,0.01372833305504173,,,nhanes_real,0,180
False,,,0.013537583057768643,,,nhanes_real,0,187
True,1.0,1.0,0.0007834590505808592,2.25,True,nhanes_real,0,188
True,1.0,1.0,0.0007430409314110875,2.25,True,nhanes_real,0,189
False,,,0.0136356670409441,,,nhanes_real,0,191
False,,,0.01360141602344811,,,nhanes_real,0,194
False,,,0.013753874925896525,,,nhanes_real,0,195
True,1.0,1.0,0.0008729579858481884,1.5,True,nhanes_real,0,196
False,,,0.013684666948392987,,,nhanes_real,0,197
True,2.0,2.0,0.0012208330444991589,5.625,True,nhanes_real,0,198
False,,,0.013689666986465454,,,nhanes_real,0,199
False,,,0.013614041032269597,,,nhanes_real,0,200
False,,,0.013610791065730155,,,nhanes_real,0,201
False,,,0.013607083936221898,,,nhanes_real,0,204
